pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
FF,2023-05-05,91.1,-1.23,5.9,"Gonzalez, Oscar",660757,641927,single,hit_into_play,,,,,12,"Oscar Gonzalez singles on a ground ball to pitcher Bailey Ober.  Jose Ramirez out at home, pitcher Bailey Ober to first baseman Donovan Solano to catcher Christian Vazquez.",R,R,R,CLE,MIN,X,1.0,ground_ball,1,2,2023,-0.19,1.34,0.4,3.7,,608070.0,,2,7,Bot,123.29,181.14,,,543877,,,4.609311181071243,-132.5865334288569,-2.503905688451092,-3.2767729377189685,30.62567023350471,-16.074309792941108,3.53,1.71,0.0,65.7,-85.0,92.7,2412.0,7.4,718306,641927,543877,456781,593871,669304,621043,608336,624503,596146,53.08,0.146,0.131,0.9,1.0,1.0,0.0,2.0,47,4,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Standard,205.0,-0.049,0.866,oscar gonzalez,
FF,2023-05-05,91.5,-1.41,5.9,"Gonzalez, Oscar",660757,641927,strikeout,swinging_strike,,,,,11,Oscar Gonzalez strikes out swinging.,R,R,R,CLE,MIN,S,2.0,,0,2,2023,-0.21,1.8,-0.33,4.5,,,,0,5,Bot,,,,,543877,,,3.236930535044239,-133.2355261146928,-1.5447637179975076,-3.209262288777773,30.947576065444736,-10.765613764498958,3.53,1.71,,,,93.0,2311.0,7.3,718306,641927,543877,456781,593871,669304,621043,608336,624503,596146,53.18,,,0.0,1.0,0.0,0.0,,30,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,208.0,-0.029,-0.149,oscar gonzalez,
SL,2023-05-05,83.3,-1.48,5.8,"Gonzalez, Oscar",660757,641927,strikeout,swinging_strike,,,,,9,Oscar Gonzalez strikes out swinging.,R,R,R,CLE,MIN,S,2.0,,2,2,2023,1.15,-0.12,0.64,1.71,,,,2,2,Bot,,,,,543877,,,2.6496774300385377,-121.43100282922836,-2.7978535942954847,10.973197090692326,22.43019930063077,-33.099114150921494,3.53,1.71,,,,85.2,2070.0,7.3,718306,641927,543877,456781,593871,669304,621043,608336,624503,596146,53.18,,,0.0,1.0,0.0,0.0,,12,5,Slider,0,0,0,0,0,0,0,0,Standard,Standard,64.0,-0.011,-0.09,oscar gonzalez,
ST,2023-05-03,82.0,-1.12,6.53,"Gonzalez, Oscar",660757,605280,single,hit_into_play,,,,,14,Oscar Gonzalez singles on a fly ball to left fielder Isiah Kiner-Falefa.   Myles Straw scores.,R,R,R,NYY,CLE,X,7.0,fly_ball,1,1,2023,1.19,0.05,0.89,2.42,,664702.0,,2,9,Top,111.89,105.07,,,543309,,,2.218361986383207,-119.47970125733724,-2.8254492572400847,10.951824610419417,23.143859971594168,-31.398642094837736,3.53,1.71,238.0,71.2,35.0,81.2,2603.0,5.7,718324,605280,543309,519203,650402,518934,683011,643396,664056,641343,54.81,0.591,0.555,0.9,1.0,1.0,0.0,3.0,65,3,Sweeper,2,2,2,2,3,2,3,2,Standard,Standard,42.0,-0.353,0.793,oscar gonzalez,
SI,2023-05-01,96.3,0.05,6.16,"Gonzalez, Oscar",660757,593974,field_out,hit_into_play,,,,,1,Oscar Gonzalez flies out to right fielder Oswaldo Cabrera.,R,R,L,NYY,CLE,X,9.0,fly_ball,1,1,2023,1.39,0.65,-0.36,3.21,672356.0,681807.0,572287.0,2,9,Top,211.93,110.29,,,624431,,,-4.206959348437187,-140.24701867312294,-3.730497879898804,19.34095372660565,31.984058358396197,-22.890003496201963,3.53,1.71,305.0,90.1,39.0,95.6,2292.0,5.9,718351,593974,624431,519203,672724,518934,683011,543305,643396,665828,54.64,0.009,0.013,0.0,1.0,0.0,0.0,3.0,64,3,Sinker,2,3,3,2,3,2,3,2,Standard,Standard,131.0,0.048,-0.746,oscar gonzalez,
FF,2023-04-30,95.5,3.11,5.12,"Gonzalez, Oscar",660757,519242,field_out,hit_into_play,,,,,12,"Oscar Gonzalez grounds out, first baseman Justin Turner to pitcher Chris Sale.",R,R,L,BOS,CLE,X,3.0,ground_ball,2,2,2023,1.22,1.02,1.25,3.04,642708.0,,,2,6,Top,155.21,156.78,,,657136,,,-7.643669186248702,-138.84924823243307,-2.099576753766205,17.47879637720886,33.51741389702942,-18.78973090296896,3.53,1.71,12.0,97.6,-13.0,95.4,2257.0,6.4,718370,519242,657136,457759,665839,646240,624414,608701,680776,657077,54.07,0.177,0.159,0.0,1.0,0.0,0.0,2.0,45,8,4-Seam Fastball,2,1,1,2,1,2,1,2,Standard,Standard,115.0,0.06,-0.347,oscar gonzalez,
CH,2023-04-30,84.5,3.3,5.01,"Gonzalez, Oscar",660757,519242,field_error,hit_into_play,,,,,9,Oscar Gonzalez reaches on a fielding error by third baseman Rafael Devers.,R,R,L,BOS,CLE,X,5.0,ground_ball,0,1,2023,1.63,0.06,0.7,2.17,,,,0,5,Top,93.87,150.54,,,657136,,,-9.28652175715505,-122.75223066469172,-0.3203004088261337,18.330786252804785,25.42004804309177,-31.7659759711868,3.53,1.71,4.0,74.2,-30.0,84.2,1902.0,6.3,718370,519242,657136,457759,665839,646240,624414,608701,680776,657077,54.18,0.069,0.075,0.9,1.0,0.0,0.0,2.0,29,2,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,96.0,-0.047,0.461,oscar gonzalez,
SL,2023-04-30,79.8,3.53,5.28,"Gonzalez, Oscar",660757,519242,field_out,hit_into_play,,,,,14,Oscar Gonzalez lines out to shortstop Christian Arroyo.,R,R,L,BOS,CLE,X,6.0,line_drive,1,2,2023,-0.96,-0.19,0.31,1.21,,,,1,2,Top,106.49,135.61,,,657136,,,-5.2702326219792,-116.14698418833454,-1.838591781916592,-7.659074860589953,22.50199451371733,-33.76956218029286,3.53,1.71,170.0,83.0,9.0,79.4,2397.0,6.1,718370,519242,657136,457759,665839,646240,624414,608701,680776,657077,54.44,0.471,0.468,0.0,1.0,0.0,0.0,4.0,8,4,Slider,0,0,0,0,0,0,0,0,Standard,Standard,318.0,0.017,-0.122,oscar gonzalez,
SI,2023-04-30,91.0,2.85,4.95,"Gonzalez, Oscar",660757,657514,field_out,hit_into_play,,,,,7,"Oscar Gonzalez grounds out, shortstop Christian Arroyo to first baseman Justin Turner.",R,R,L,BOS,CLE,X,6.0,ground_ball,3,2,2023,1.31,0.17,-0.51,1.87,,,,1,9,Top,110.68,142.61,,,657136,,,-11.200930430781174,-131.9841853893817,-2.0878043903868178,17.812513905220367,30.07393764008973,-29.980712401616127,3.53,1.71,11.0,111.1,-9.0,90.4,1974.0,6.2,718370,657514,657136,457759,665839,646240,624414,608701,680776,657077,54.26,0.38,0.357,0.0,1.0,0.0,0.0,2.0,71,6,Sinker,7,1,1,7,1,7,1,7,Standard,Standard,130.0,0.001,-0.211,oscar gonzalez,
FF,2023-04-29,96.8,-1.72,5.36,"Gonzalez, Oscar",660757,678394,strikeout,swinging_strike,,,,,12,Oscar Gonzalez strikes out swinging.,R,R,R,BOS,CLE,S,2.0,,2,2,2023,-0.63,1.06,1.01,3.23,,647304.0,,2,4,Top,,,,,657136,,,8.734447115128871,-140.77004865464392,-2.5893045929096528,-10.17750226814163,29.108796913336946,-17.68591675820203,3.54,1.72,,,,97.5,2025.0,6.5,718385,678394,657136,457759,665839,646240,624414,606132,680776,657077,53.99,,,0.0,1.0,0.0,0.0,,28,5,4-Seam Fastball,3,1,1,3,1,3,1,3,Standard,Standard,227.0,0.035,-0.237,oscar gonzalez,
SI,2023-04-29,94.8,-2.1,5.13,"Gonzalez, Oscar",660757,678394,field_out,hit_into_play,,,,,1,"Oscar Gonzalez grounds out, third baseman Rafael Devers to first baseman Justin Turner.",R,R,R,BOS,CLE,X,5.0,ground_ball,0,0,2023,-1.3,0.18,-0.58,3.2,,,,0,2,Top,112.26,175.96,,,657136,,,6.885548108477443,-137.97437628221132,0.1706282736843953,-18.171729557284134,28.550604589916357,-30.041347824002084,3.54,1.72,2.0,64.2,-64.0,95.1,2006.0,6.3,718385,678394,657136,457759,665839,646240,624414,606132,680776,657077,54.18,0.243,0.219,0.0,1.0,0.0,0.0,2.0,12,1,Sinker,3,1,1,3,1,3,1,3,Standard,Standard,233.0,0.023,-0.235,oscar gonzalez,
FC,2023-04-29,86.6,2.97,5.81,"Gonzalez, Oscar",660757,542947,field_out,hit_into_play,,,,,1,Oscar Gonzalez lines out to third baseman Rafael Devers.,R,R,L,BOS,CLE,X,5.0,line_drive,0,1,2023,-0.28,0.48,-0.47,3.15,,,647304.0,2,6,Top,95.93,167.17,,,657136,,,-7.723837569482608,-126.08088661577204,-1.179120528723966,-1.6091018907746917,23.28980030457024,-26.982886167724832,3.54,1.72,125.0,104.8,6.0,87.7,1934.0,6.7,718385,542947,657136,457759,665839,646240,624414,606132,680776,657077,53.77,0.617,0.595,0.0,1.0,0.0,0.0,4.0,49,2,Cutter,5,1,1,5,1,5,1,5,Standard,Standard,154.0,0.013,-0.206,oscar gonzalez,
SL,2023-04-26,88.0,-1.85,5.96,"Gonzalez, Oscar",660757,608566,double,hit_into_play,,,,,5,Oscar Gonzalez doubles (2) on a sharp line drive to left fielder Jurickson Profar.   Andres Gimenez scores.,R,R,R,CLE,COL,X,7.0,line_drive,0,1,2023,-0.15,0.56,-0.19,2.47,,665926.0,,1,4,Bot,59.37,69.2,,,661531,,,4.275287851596533,-128.21214097178566,-3.5393823459446745,-2.529155900985064,24.416303562456083,-25.44972466574797,3.55,1.71,359.0,104.9,18.0,86.7,2342.0,5.2,718421,608566,661531,543068,676701,641857,678662,595777,686668,592178,55.3,0.534,0.687,1.25,1.0,1.0,1.0,5.0,31,2,Slider,2,0,2,0,0,3,3,0,Strategic,Strategic,193.0,0.071,1.066,oscar gonzalez,
SI,2023-04-26,93.4,-1.62,6.14,"Gonzalez, Oscar",660757,608566,single,hit_into_play,,,,,13,Oscar Gonzalez singles on a ground ball to shortstop Ezequiel Tovar.   Andres Gimenez to 2nd.,R,R,R,CLE,COL,X,6.0,ground_ball,0,0,2023,-1.32,1.05,-0.81,1.44,,,665926.0,0,2,Bot,102.48,153.18,,,661531,,,4.893821438907162,-135.74545955507037,-8.522917689136019,-17.383473796177107,30.846416563824576,-17.429353455921266,3.55,1.71,10.0,96.0,-7.0,91.8,2166.0,5.5,718421,608566,661531,543068,676701,641857,678662,595777,686668,592178,55.05,0.206,0.185,0.9,1.0,1.0,0.0,2.0,14,1,Sinker,2,0,2,0,0,2,2,0,Standard,Standard,174.0,0.034,0.669,oscar gonzalez,
SL,2023-04-26,87.2,-1.74,5.95,"Gonzalez, Oscar",660757,453268,field_out,hit_into_play,,,,,9,Oscar Gonzalez pops out to first baseman C.  J. Cron in foul territory.,R,R,R,CLE,COL,X,3.0,popup,0,1,2023,0.64,-0.05,0.42,2.11,,,,1,6,Bot,153.74,195.89,,,661531,,,3.841808566973564,-127.03098486679971,-2.9953115390481457,6.221395446052261,24.718124919406435,-32.37845076347439,3.55,1.71,41.0,67.6,77.0,86.6,2638.0,5.7,718421,453268,661531,543068,676701,641857,678662,595777,686668,592178,54.75,0.009,0.009,0.0,1.0,0.0,0.0,3.0,49,2,Slider,3,1,3,1,1,3,3,1,Strategic,Standard,128.0,-0.009,-0.144,oscar gonzalez,
