pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
CH,2023-05-24,85.3,-1.43,6.71,"Wells, Tyler",518934,669330,field_out,hit_into_play,,,,,1,"DJ LeMahieu grounds out, third baseman Joey Ortiz to first baseman Ryan Mountcastle.",R,R,R,NYY,BAL,X,5.0,ground_ball,0,2,2023,-1.5,1.03,-0.45,3.01,,,592450.0,2,5,Bot,95.79,166.49,,,543510,,,5.321415138535702,-124.01210763280343,-4.417615801422143,-16.533730336358172,26.690922293360195,-20.84832425128092,3.32,1.57,47.0,81.3,1.0,85.1,2145.0,6.4,718040,669330,543510,663624,624428,687401,622761,669720,656775,623993,54.09,0.226,0.217,0.0,1.0,0.0,0.0,2.0,40,3,Changeup,5,1,5,1,1,5,5,1,Standard,Standard,224.0,-0.005,-0.17
FF,2023-05-24,91.3,-1.44,6.77,"Wells, Tyler",518934,669330,,called_strike,,,,,9,"DJ LeMahieu grounds out, third baseman Joey Ortiz to first baseman Ryan Mountcastle.",R,R,R,NYY,BAL,S,,,0,1,2023,-0.38,1.65,0.63,1.78,,,592450.0,2,5,Bot,,,,,543510,,,6.05234728823447,-132.30237027916266,-10.072711942097264,-5.957787301082532,33.77594177426516,-10.718294487988755,3.37,1.62,,,,90.6,2434.0,6.5,718040,669330,543510,663624,624428,687401,622761,669720,656775,623993,53.97,,,,,,,,40,2,4-Seam Fastball,5,1,5,1,1,5,5,1,Standard,Standard,204.0,0.0,-0.038
FF,2023-05-24,92.1,-1.43,6.79,"Wells, Tyler",518934,669330,,called_strike,,,,,5,"DJ LeMahieu grounds out, third baseman Joey Ortiz to first baseman Ryan Mountcastle.",R,R,R,NYY,BAL,S,,,0,0,2023,-0.71,1.62,-0.09,2.63,,,592450.0,2,5,Bot,,,,,543510,,,4.9529268568330185,-133.7245437498385,-8.139473114107458,-9.657699379209058,33.42885571279628,-11.161066103981714,3.37,1.62,,,,91.3,2445.0,6.3,718040,669330,543510,663624,624428,687401,622761,669720,656775,623993,54.19,,,,,,,,40,1,4-Seam Fastball,5,1,5,1,1,5,5,1,Standard,Standard,203.0,0.0,-0.036
FC,2023-05-24,88.9,-1.36,6.73,"Wells, Tyler",519203,669330,strikeout,swinging_strike,,,,,5,Anthony Rizzo strikes out swinging.,R,L,R,NYY,BAL,S,2.0,,3,2,2023,0.27,1.03,0.26,2.73,,,592450.0,1,5,Bot,,,,,543510,,,3.4311332494683886,-129.45262904057904,-6.018823046603366,2.442056347463118,24.3139798313194,-19.563106754827444,3.77,1.76,,,,89.7,2333.0,6.5,718040,669330,543510,663624,624428,687401,622761,669720,656775,623993,54.0,,,0.0,1.0,0.0,0.0,,39,10,Cutter,5,1,5,1,1,5,5,1,Standard,Standard,194.0,-0.007,-0.385
SL,2023-05-24,84.7,-1.23,6.74,"Wells, Tyler",519203,669330,,ball,,,,,14,Anthony Rizzo strikes out swinging.,R,L,R,NYY,BAL,B,,,2,2,2023,0.23,0.18,0.75,1.56,,,592450.0,1,5,Bot,,,,,543510,,,4.16786727892687,-123.13791073509046,-6.061734455236001,1.4271798845534471,25.861499013672653,-29.28965407248705,3.82,1.73,,,,84.4,2479.0,6.3,718040,669330,543510,663624,624428,687401,622761,669720,656775,623993,54.19,,,,,,,,39,9,Slider,5,1,5,1,1,5,5,1,Standard,Standard,144.0,0.0,0.113
FC,2023-05-24,88.4,-1.42,6.69,"Wells, Tyler",519203,669330,,foul,,,,,8,Anthony Rizzo strikes out swinging.,R,L,R,NYY,BAL,S,,,2,2,2023,0.08,0.77,-0.04,2.3,,,592450.0,1,5,Bot,,,,,543510,,,3.2116673548675623,-128.5632938057145,-6.149864740433291,0.1515334704545682,29.54933723842745,-22.55286041056905,3.77,1.76,160.0,67.0,19.0,88.2,2383.0,6.4,718040,669330,543510,663624,624428,687401,622761,669720,656775,623993,54.08,,,,,,,,39,8,Cutter,5,1,5,1,1,5,5,1,Standard,Standard,185.0,0.0,0.0
FF,2023-05-24,92.9,-1.29,6.77,"Wells, Tyler",519203,669330,,foul,,,,,11,Anthony Rizzo strikes out swinging.,R,L,R,NYY,BAL,S,,,2,2,2023,-0.31,1.56,-0.14,3.89,,,592450.0,1,5,Bot,,,,,543510,,,3.60924191927944,-135.05823767949013,-4.8922906247866855,-4.598872285359468,33.602298272561406,-12.361238008654864,3.77,1.76,252.0,74.6,46.0,92.1,2435.0,6.2,718040,669330,543510,663624,624428,687401,622761,669720,656775,623993,54.31,,,,,,,,39,7,4-Seam Fastball,5,1,5,1,1,5,5,1,Standard,Standard,210.0,0.0,0.0
CH,2023-05-24,85.4,-1.39,6.73,"Wells, Tyler",519203,669330,,foul,,,,,13,Anthony Rizzo strikes out swinging.,R,L,R,NYY,BAL,S,,,2,2,2023,-1.84,1.1,-1.28,2.68,,,592450.0,1,5,Bot,,,,,543510,,,3.989244323431616,-124.2034732176789,-5.446098603757596,-19.784219570841824,26.85458351826088,-19.84229802871444,3.77,1.76,138.0,70.4,73.0,85.4,2291.0,6.5,718040,669330,543510,663624,624428,687401,622761,669720,656775,623993,54.02,,,,,,,,39,6,Changeup,5,1,5,1,1,5,5,1,Standard,Standard,218.0,0.0,0.0
FC,2023-05-24,88.7,-1.37,6.73,"Wells, Tyler",519203,669330,,foul,,,,,4,Anthony Rizzo strikes out swinging.,R,L,R,NYY,BAL,S,,,2,2,2023,0.25,0.99,-0.77,2.91,,,592450.0,1,5,Bot,,,,,543510,,,0.9598467556460092,-129.17129909323884,-5.413805776473075,2.55513387300656,26.20180179866277,-20.165638832659056,3.77,1.76,,,,89.0,2377.0,6.4,718040,669330,543510,663624,624428,687401,622761,669720,656775,623993,54.13,,,,,,,,39,5,Cutter,5,1,5,1,1,5,5,1,Standard,Standard,202.0,0.0,0.0
CH,2023-05-24,86.1,-1.34,6.71,"Wells, Tyler",519203,669330,,swinging_strike,,,,,13,Anthony Rizzo strikes out swinging.,R,L,R,NYY,BAL,S,,,2,1,2023,-1.65,1.03,-1.53,2.41,,,592450.0,1,5,Bot,,,,,543510,,,2.907506392845672,-125.17039190216568,-5.9986084745918165,-17.824896380013225,27.41102747772012,-20.28607621299758,3.77,1.76,,,,86.0,2339.0,6.4,718040,669330,543510,663624,624428,687401,622761,669720,656775,623993,54.06,,,,,,,,39,4,Changeup,5,1,5,1,1,5,5,1,Strategic,Standard,221.0,0.0,-0.07
