pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,2023-05-25,85.0,-2.41,5.44,"Carlton, Drew",600869,656290,field_out,hit_into_play,,,,,9,Jeimer Candelario flies out sharply to right fielder Fernando Tatis Jr.,R,L,R,WSH,SD,X,9.0,fly_ball,1,2,2023,0.54,0.11,0.37,1.73,,,,2,8,Bot,185.73,63.32,,,543592,,,5.410113122737534,-123.8164117250952,-2.635842363302749,4.55743032359446,24.034214237001528,-30.75537665336973,3.25,1.62,365.0,100.1,28.0,84.9,2620,6.1,718035,656290,543592,641525,630105,596059,593428,665742,663757,665487,54.37,0.589,1.11,0.0,1.0,0.0,0.0,6.0,78,4,Slider,6,5,6,5,5,6,6,5,Standard,Standard,105,-0.007,-0.071
FF,2023-05-25,94.1,-2.23,5.44,"Carlton, Drew",600869,656290,,foul_tip,,,,,5,Jeimer Candelario flies out sharply to right fielder Fernando Tatis Jr.,R,L,R,WSH,SD,S,,,1,1,2023,-1.15,1.01,-0.16,2.39,,,,2,8,Bot,,,,,543592,,,7.908393490993249,-136.73940189672658,-4.375936534924328,-16.24914212394954,33.230167462672185,-18.719537344880496,3.25,1.62,,,,93.5,2231,6.2,718035,656290,543592,641525,630105,596059,593428,665742,663757,665487,54.27,,,,,,,,78,3,4-Seam Fastball,6,5,6,5,5,6,6,5,Standard,Standard,236,0.0,-0.026
FF,2023-05-25,93.2,-2.34,5.44,"Carlton, Drew",600869,656290,,ball,,,,,11,Jeimer Candelario flies out sharply to right fielder Fernando Tatis Jr.,R,L,R,WSH,SD,B,,,0,1,2023,-0.98,1.13,-0.05,3.82,,,,2,8,Bot,,,,,543592,,,8.005686594656462,-135.4287472407186,-0.8187985309415096,-13.897950440030389,32.48816077227212,-18.362924846156208,3.27,1.61,,,,92.6,2251,6.2,718035,656290,543592,641525,630105,596059,593428,665742,663757,665487,54.27,,,,,,,,78,2,4-Seam Fastball,6,5,6,5,5,6,6,5,Standard,Standard,232,0.0,0.015
FF,2023-05-25,94.2,-2.26,5.44,"Carlton, Drew",600869,656290,,swinging_strike,,,,,8,Jeimer Candelario flies out sharply to right fielder Fernando Tatis Jr.,R,L,R,WSH,SD,S,,,0,0,2023,-1.08,1.1,-0.26,2.08,,,,2,8,Bot,,,,,543592,,,7.598733485860076,-136.911906954061,-5.384882832937639,-15.360950557857327,32.9071325420818,-17.32293552240711,3.25,1.62,,,,93.7,2222,6.2,718035,656290,543592,641525,630105,596059,593428,665742,663757,665487,54.27,,,,,,,,78,1,4-Seam Fastball,6,5,6,5,5,6,6,5,Standard,Standard,232,0.0,-0.021
CH,2023-05-25,85.8,-2.32,5.51,"Carlton, Drew",608841,656290,field_out,hit_into_play,,,,,4,Joey Meneses flies out to center fielder Trent Grisham.,R,R,R,WSH,SD,X,8.0,fly_ball,1,1,2023,-1.32,0.55,-0.43,2.44,,,,1,8,Bot,112.4,90.77,,,543592,,,7.146825396176507,-124.833876233575,-2.134382932697296,-15.26959395432385,24.45580278531224,-26.223608452031986,3.47,1.68,272.0,93.1,46.0,85.8,1948,6.2,718035,656290,543592,641525,630105,596059,593428,665742,663757,665487,54.28,0.001,0.0,0.0,1.0,0.0,0.0,3.0,77,3,Changeup,6,5,6,5,5,6,6,5,Standard,Standard,261,-0.009,-0.165
SI,2023-05-25,93.2,-2.3,5.41,"Carlton, Drew",608841,656290,,ball,,,,,14,Joey Meneses flies out to center fielder Trent Grisham.,R,R,R,WSH,SD,B,,,0,1,2023,-1.34,0.43,0.74,1.32,,,,1,8,Bot,,,,,543592,,,10.706304323795123,-135.25603115620603,-5.70006201567811,-18.694309710833576,27.29907244181187,-25.850673078776374,3.53,1.68,,,,93.3,1973,6.3,718035,656290,543592,641525,630105,596059,593428,665742,663757,665487,54.19,,,,,,,,77,2,Sinker,6,5,6,5,5,6,6,5,Standard,Standard,237,0.0,0.021
SI,2023-05-25,93.6,-2.33,5.45,"Carlton, Drew",608841,656290,,called_strike,,,,,5,Joey Meneses flies out to center fielder Trent Grisham.,R,R,R,WSH,SD,S,,,0,0,2023,-1.48,0.46,-0.02,2.32,,,,1,8,Bot,,,,,543592,,,9.1958319216958,-136.1020865673035,-3.3623936229474056,-20.37713240706176,28.743785021168232,-25.891808129427407,3.6,1.73,,,,93.7,1965,6.3,718035,656290,543592,641525,630105,596059,593428,665742,663757,665487,54.21,,,,,,,,77,1,Sinker,6,5,6,5,5,6,6,5,Standard,Standard,236,0.0,-0.028
CH,2023-05-25,86.9,-2.22,5.43,"Carlton, Drew",671277,656290,field_out,hit_into_play,,,,,8,Luis Garcia lines out to center fielder Trent Grisham.,R,L,R,WSH,SD,X,8.0,line_drive,0,1,2023,-1.28,0.73,-0.1,2.08,,,,0,8,Bot,120.99,64.11,,,543592,,,7.69058066963972,-126.31910438367886,-3.3362960330022275,-15.262483588337208,25.155291131022476,-23.904813100804613,3.44,1.74,335.0,92.0,23.0,86.8,1960,6.2,718035,656290,543592,641525,630105,596059,593428,665742,663757,665487,54.26,0.177,0.198,0.0,1.0,0.0,0.0,3.0,76,2,Changeup,6,5,6,5,5,6,6,5,Strategic,Standard,256,-0.013,-0.198
FF,2023-05-25,94.1,-2.23,5.49,"Carlton, Drew",671277,656290,,foul,,,,,5,Luis Garcia lines out to center fielder Trent Grisham.,R,L,R,WSH,SD,S,,,0,0,2023,-0.92,1.03,-0.03,2.69,,,,0,8,Bot,,,,,543592,,,7.746191207373291,-136.77586835686557,-3.81227068283948,-13.218008699917366,30.880166327458877,-18.583926777027983,3.44,1.74,246.0,84.3,41.0,93.9,2119,6.3,718035,656290,543592,641525,630105,596059,593428,665742,663757,665487,54.2,,,,,,,,76,1,4-Seam Fastball,6,5,6,5,5,6,6,5,Standard,Standard,234,0.0,-0.037
FF,2023-05-16,93.3,-2.3,5.31,"Carlton, Drew",672580,656290,strikeout,swinging_strike,,,,,2,Maikel Garcia strikes out swinging.,R,R,R,SD,KC,S,2.0,,1,2,2023,-1.34,0.95,-0.03,2.96,,,,2,5,Top,,,,,664954,,,8.726899820823993,-135.57907786125833,-2.331771983141916,-18.41924991800494,31.202015402017103,-20.122571711600983,3.4,1.6,,,,92.6,2218,6.1,718144,656290,664954,630105,596059,673490,593428,665742,663757,665487,54.42,,,0.0,1.0,0.0,0.0,,38,4,4-Seam Fastball,0,5,5,0,5,0,5,0,Standard,Standard,230,0.002,-0.071
FF,2023-05-16,92.9,-2.31,5.25,"Carlton, Drew",672580,656290,,foul,,,,,6,Maikel Garcia strikes out swinging.,R,R,R,SD,KC,S,,,1,1,2023,-1.27,1.02,0.45,2.56,,,,2,5,Top,,,,,664954,,,9.777837854037545,-134.9821414471353,-3.3384561363097607,-17.637946307448907,28.600677132386604,-19.10235300632963,3.4,1.6,,,,92.4,2119,6.0,718144,656290,664954,630105,596059,673490,593428,665742,663757,665487,54.46,,,,,,,,38,3,4-Seam Fastball,0,5,5,0,5,0,5,0,Standard,Standard,234,0.0,-0.026
SI,2023-05-16,91.8,-2.2,5.24,"Carlton, Drew",672580,656290,,ball,,,,,13,Maikel Garcia strikes out swinging.,R,R,R,SD,KC,B,,,0,1,2023,-1.6,0.49,-1.54,2.61,,,,2,5,Top,,,,,664954,,,5.132458056542386,-133.6001510265704,-1.855427328081713,-20.26977945727315,29.479288536017798,-26.153659619953007,3.62,1.78,,,,91.4,2024,6.1,718144,656290,664954,630105,596059,673490,593428,665742,663757,665487,54.42,,,,,,,,38,2,Sinker,0,5,5,0,5,0,5,0,Standard,Standard,231,0.0,0.015
FF,2023-05-16,93.6,-2.23,5.28,"Carlton, Drew",672580,656290,,called_strike,,,,,14,Maikel Garcia strikes out swinging.,R,R,R,SD,KC,S,,,0,0,2023,-1.15,1.27,0.92,2.27,,,,2,5,Top,,,,,664954,,,10.576585624632704,-135.81904765764637,-4.763312873391885,-16.517621701042955,29.66316851374598,-15.588343652683392,3.67,1.8,,,,92.9,2153,6.0,718144,656290,664954,630105,596059,673490,593428,665742,663757,665487,54.47,,,,,,,,38,1,4-Seam Fastball,0,5,5,0,5,0,5,0,Standard,Standard,233,0.0,-0.021
SI,2023-05-16,91.8,-2.14,5.29,"Carlton, Drew",658668,656290,field_out,hit_into_play,,,,,5,"Edward Olivares grounds out, shortstop Xander Bogaerts to first baseman Jake Cronenworth.",R,R,R,SD,KC,X,6.0,ground_ball,1,0,2023,-1.63,0.74,-0.04,2.38,,,,1,5,Top,110.87,166.62,,,664954,,,8.80323076052413,-133.38378279553706,-3.1113650055308355,-21.364655933044624,27.75146898214262,-22.81326922959712,3.45,1.7,20.0,99.9,-6.0,91.5,2063,6.1,718144,656290,664954,630105,596059,673490,593428,665742,663757,665487,54.38,0.274,0.247,0.0,1.0,0.0,0.0,2.0,37,2,Sinker,0,5,5,0,5,0,5,0,Standard,Standard,230,0.004,-0.2
SL,2023-05-16,84.9,-2.42,5.22,"Carlton, Drew",658668,656290,,ball,,,,,14,"Edward Olivares grounds out, shortstop Xander Bogaerts to first baseman Jake Cronenworth.",R,R,R,SD,KC,B,,,0,0,2023,0.13,0.45,0.66,1.34,,,,1,5,Top,,,,,664954,,,6.9429388558955045,-123.5660017719281,-3.661275351688089,-0.0152403095307312,23.8270992479547,-27.029171770181243,3.72,1.78,,,,84.9,2494,6.2,718144,656290,664954,630105,596059,673490,593428,665742,663757,665487,54.31,,,,,,,,37,1,Slider,0,5,5,0,5,0,5,0,Standard,Standard,136,0.0,0.028
SI,2023-05-16,92.0,-2.22,5.27,"Carlton, Drew",686469,656290,field_out,hit_into_play,,,,,7,Vinnie Pasquantino flies out sharply to center fielder Trent Grisham.,R,L,R,SD,KC,X,8.0,fly_ball,2,2,2023,-1.68,0.58,-0.3,2.01,,,,0,5,Top,138.32,41.95,,,664954,,,8.46616616656327,-133.69538070756963,-3.6738019576255754,-21.952081653974005,28.521234128662964,-24.622090781726754,3.36,1.64,388.0,100.3,27.0,91.6,2044,6.1,718144,656290,664954,630105,596059,673490,593428,665742,663757,665487,54.38,0.589,0.994,0.0,1.0,0.0,0.0,6.0,36,5,Sinker,0,5,5,0,5,0,5,0,Strategic,Standard,237,0.004,-0.205
