pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
FF,2023-05-24,90.0,-2.89,5.5,"Wendle, Joey",621563,666154,field_out,hit_into_play,,,,,13,"Joey Wendle grounds out, shortstop Ezequiel Tovar to first baseman Mike Moustakas.",R,L,R,COL,MIA,X,6.0,ground_ball,3,2,2023,-0.88,0.96,-1.03,2.38,,493329.0,,2,4,Top,126.12,147.58,,,553869,,,6.563387904241031,-131.02602312168167,-3.933946990276018,-11.448215263942696,24.37304696758541,-20.48526257127681,3.31,1.61,46.0,96.0,0.0,91.5,2150,6.9,718036,666154,553869,519058,605612,641857,678662,595777,545341,592178,53.58,0.397,0.377,0.0,1.0,0.0,0.0,2.0,31,7,4-Seam Fastball,1,2,2,1,2,1,2,1,Standard,Standard,225,0.035,-0.333,joey wendle,
FF,2023-05-24,94.7,-1.64,6.08,"Wendle, Joey",621563,663567,double,hit_into_play,,,,,2,"Joey Wendle doubles (2) on a fly ball to left fielder Jurickson Profar.   Garrett Hampson scores.    Yuli Gurriel scores.  Joey Wendle out at 3rd on the throw, left fielder Jurickson Profar to third baseman Ryan McMahon.",R,L,R,COL,MIA,X,7.0,fly_ball,3,1,2023,-0.71,1.07,0.09,2.92,641658.0,,493329.0,2,7,Top,36.72,82.13,,,553869,,,6.11346304432058,-137.90480406707124,-5.044962193355859,-10.3849605410274,27.75061517206764,-17.535901631551223,3.31,1.61,362.0,95.3,27.0,95.0,2255,6.2,718036,663567,553869,519058,605612,641857,678662,595777,545341,592178,54.27,0.197,0.291,1.25,1.0,1.0,1.0,5.0,59,5,4-Seam Fastball,2,8,8,2,10,2,10,2,Standard,Standard,216,-0.01,1.304,joey wendle,
CH,2023-05-24,87.5,-1.78,5.94,"Wendle, Joey",621563,663567,strikeout,swinging_strike,,,,,13,Joey Wendle strikes out swinging.,R,L,R,COL,MIA,S,2.0,,0,2,2023,-0.95,0.58,-0.19,1.12,493329.0,,,0,6,Top,,,,,553869,,,5.786295177193553,-127.28686286702847,-6.742647593924125,-11.463111729156005,22.970984222216785,-24.73295260807077,3.31,1.61,,,,87.9,1718,6.3,718036,663567,553869,519058,605612,641857,678662,595777,545341,592178,54.24,,,0.0,1.0,0.0,0.0,,46,3,Changeup,1,5,5,1,5,1,5,1,Strategic,Standard,231,0.011,-0.205,joey wendle,
FF,2023-05-23,96.7,-2.14,5.96,"Wendle, Joey",621563,572955,strikeout,swinging_strike,,,,,1,Joey Wendle strikes out swinging.,R,L,R,COL,MIA,S,2.0,,0,2,2023,-0.54,1.03,-0.31,2.96,,,,0,9,Top,,,,,553869,,,6.0828599566134125,-140.77545722545847,-4.83817023864296,-8.39494409276218,27.85229140958775,-17.509584063682254,3.31,1.61,,,,96.8,2101,6.0,718051,572955,553869,669911,605612,641857,678662,595777,686668,545341,54.47,,,0.0,1.0,0.0,0.0,,71,3,4-Seam Fastball,5,3,3,5,3,5,3,5,Standard,Strategic,225,0.037,-0.149,joey wendle,
SI,2023-05-22,93.8,-0.73,5.87,"Wendle, Joey",621563,502624,single,hit_into_play,,,,,4,Joey Wendle singles on a line drive to left fielder Jurickson Profar.   Bryan De La Cruz to 2nd.,R,L,R,COL,MIA,X,7.0,line_drive,1,1,2023,-0.96,0.89,-0.46,2.41,,,650559.0,2,6,Top,58.16,103.28,,,553869,,,2.794774825618246,-136.6685557708425,-5.238765335667392,-12.635602572705462,25.56874371872862,-20.150372401837007,3.32,1.61,241.0,97.7,12.0,94.1,2187,6.1,718069,502624,553869,669911,605612,641857,678662,595777,686668,592178,54.45,0.946,0.895,0.9,1.0,1.0,0.0,4.0,45,3,Sinker,2,2,2,2,2,2,2,2,Standard,Standard,210,-0.03,0.323,joey wendle,
SI,2023-05-22,93.9,-0.79,5.83,"Wendle, Joey",621563,502624,walk,ball,,,,,13,Joey Wendle walks.   Bryan De La Cruz to 3rd.    Jean Segura to 2nd.,R,L,R,COL,MIA,B,,,3,0,2023,-0.9,0.8,-1.36,2.25,,650559.0,516416.0,1,4,Top,,,,,553869,,,0.4994680941379306,-136.90603683119798,-5.413724824764159,-11.546096701504856,25.01711798480377,-21.215584168504304,3.16,1.6,,,,94.3,2194,6.1,718069,502624,553869,669911,605612,641857,678662,595777,686668,592178,54.45,,,0.7,1.0,0.0,0.0,,28,4,Sinker,2,1,1,2,1,2,1,2,Standard,Standard,214,-0.079,0.172,joey wendle,
CH,2023-05-22,83.0,-1.12,5.9,"Wendle, Joey",621563,502624,field_out,hit_into_play,,,,,13,"Joey Wendle grounds out, third baseman Ryan McMahon to first baseman Michael Toglia.",R,L,R,COL,MIA,X,5.0,ground_ball,0,1,2023,-1.33,0.85,-0.13,1.44,,,,0,3,Top,113.08,165.88,,,553869,,,4.80138619204072,-120.74891161722029,-5.336536171752027,-13.927782242716075,23.012757376287308,-23.04586112924524,3.32,1.61,3.0,57.3,-28.0,82.2,2366,5.7,718069,502624,553869,669911,605612,641857,678662,595777,686668,592178,54.79,0.083,0.075,0.0,1.0,0.0,0.0,1.0,16,2,Changeup,2,0,0,2,0,2,0,2,Standard,Standard,238,0.024,-0.198,joey wendle,
SI,2023-05-22,94.8,-2.94,4.18,"Wendle, Joey",621563,664875,sac_bunt,hit_into_play,,,,,12,"Joey Wendle out on a sacrifice bunt, pitcher Justin Lawrence to first baseman Michael Toglia.   Bryan De La Cruz to 2nd.",R,L,R,COL,MIA,X,1.0,ground_ball,0,0,2023,-1.18,-0.11,1.09,3.18,,,650559.0,1,8,Top,122.67,189.94,,,553869,,,13.038774868275002,-137.44823092103425,3.267360653292096,-17.60708082074787,27.132051211630035,-34.533855231531135,3.32,1.61,23.0,26.2,7.0,94.4,2410,6.0,718069,664875,553869,669911,605612,641857,678662,595777,686668,592178,54.46,0.283,0.255,0.25,0.0,0.0,0.0,1.0,64,1,Sinker,5,2,2,5,2,5,2,5,Standard,Standard,255,0.023,0.09,joey wendle,
SI,2023-05-21,94.5,-1.68,5.2,"Wendle, Joey",621563,666808,single,hit_into_play,,,,,7,Joey Wendle singles on a ground ball to shortstop Brandon Crawford.,R,L,R,SF,MIA,X,6.0,ground_ball,1,0,2023,-1.44,0.1,-0.59,1.84,,,,0,9,Top,103.08,139.48,,,672275,,,6.032726277264761,-137.52705125414872,-3.295422305195679,-19.5656976428478,29.08617431675692,-30.4518133626808,3.34,1.61,10.0,98.8,-9.0,94.5,2396,6.2,718078,666808,672275,664774,642731,669477,543063,571745,669369,573262,54.33,0.26,0.234,0.9,1.0,1.0,0.0,2.0,70,2,Sinker,7,4,4,7,4,7,4,7,Standard,Standard,243,-0.036,0.354,joey wendle,
SI,2023-05-20,92.2,-1.21,5.17,"Wendle, Joey",621563,657277,walk,ball,,,,,14,Joey Wendle walks.,R,L,R,SF,MIA,B,,,3,1,2023,-1.34,-0.09,0.93,1.24,,,,2,2,Top,,,,,672275,,,8.38523192133084,-133.99674845346917,-3.9921136505533057,-17.88671603869304,28.2204315861414,-32.597090947095474,3.36,1.64,,,,92.8,1851,6.6,718103,657277,672275,664774,642731,605204,669477,571745,669369,624424,53.86,,,0.7,1.0,0.0,0.0,,10,5,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,243,-0.014,0.066,joey wendle,
SL,2023-05-20,89.6,-1.59,5.43,"Wendle, Joey",621563,666808,strikeout,swinging_strike,,,,,14,Joey Wendle strikes out swinging.,R,L,R,SF,MIA,S,2.0,,3,2,2023,0.2,0.31,0.38,0.78,,650559.0,,0,9,Top,,,,,672275,,,4.450623340440173,-130.48635004647662,-6.255529737732383,1.5276007107089713,24.294373947140578,-27.601738766946426,3.34,1.61,,,,90.4,2276,6.5,718103,666808,672275,664774,642731,605204,669477,571745,669369,624424,54.04,,,0.0,1.0,0.0,0.0,,61,6,Slider,0,1,1,0,1,0,1,0,Standard,Standard,144,0.03,-0.487,joey wendle,
SL,2023-05-20,84.9,-1.92,5.95,"Wendle, Joey",621563,596001,strikeout,swinging_strike,,,,,14,Joey Wendle strikes out swinging.,R,L,R,SF,MIA,S,2.0,,0,2,2023,1.11,-0.12,0.25,1.19,,,,1,7,Top,,,,,672275,,,2.8500194167193604,-123.6409400226695,-4.610601465534515,10.995095151380388,22.17913905596841,-32.8175998229682,3.34,1.61,,,,84.8,2258,6.0,718103,596001,672275,664774,642731,605204,669477,571745,669369,624424,54.54,,,0.0,1.0,0.0,0.0,,44,3,Slider,0,0,0,0,0,0,0,0,Standard,Standard,58,0.028,-0.107,joey wendle,
FF,2023-05-19,92.8,-1.83,5.56,"Wendle, Joey",621563,543101,field_out,hit_into_play,,,,,2,"Joey Wendle grounds out, second baseman Thairo Estrada to first baseman LaMonte Wade Jr.",R,L,R,SF,MIA,X,4.0,ground_ball,2,1,2023,-0.59,1.19,0.27,2.83,,,643265.0,2,4,Top,149.9,156.61,,,666165,,,6.702904568685264,-134.9710759037794,-3.828045261826547,-8.638417520047948,28.674563062734897,-16.97262291379267,3.34,1.6,7.0,91.1,-23.0,93.4,2141,6.6,718105,543101,666165,664774,642731,669477,543063,571745,573262,624424,53.89,0.091,0.093,0.0,1.0,0.0,0.0,2.0,25,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,214,0.028,-0.271,joey wendle,
